case,mode_set,z_type,w_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,petrov_condition,regularization,omega,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_aux_residual,9.601334814717081e-07,9.601343885453312e-07,0.9999990552638944,0.9660045857418796,0.258524931729339,1.0000000000000002,0.0,0.1,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_aux_residual,9.601334814717081e-07,9.601335760509547e-07,0.9999999014936578,0.9660038785336338,0.25852757427008966,1.0000000000000002,0.0,0.03,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_aux_residual,9.601334814717081e-07,9.601334960892714e-07,0.9999999847754887,0.9660036784184969,0.25852832201121295,1.0000000000000002,0.0,0.01,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ,9.601334814717081e-07,9.6013347934559e-07,1.0000000022143984,0.966003541979813,0.2585288318204674,1.0000000000000002,0.0,1.0,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ,9.601334814717081e-07,9.60133480387388e-07,1.000000001129343,0.9660035676677674,0.25852873583635694,1.0000000000000002,0.0,0.3,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ,9.601334814717081e-07,9.601334810677458e-07,1.0000000004207354,0.966003575012074,0.25852870839404307,1.0000000000000002,0.0,0.1,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ,9.601334814717081e-07,9.601334813460548e-07,1.0000000001308706,0.9660035775830949,0.2585286987873136,1.0000000000000002,0.0,0.03,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ,9.601334814717081e-07,9.601334814293986e-07,1.0000000000440663,0.9660035783177211,0.2585286960423509,1.0000000000000002,0.0,0.01,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ_normalized,9.601334814717081e-07,9.6013347934559e-07,1.0000000022143984,0.966003541979813,0.2585288318204674,1.0000000000000004,0.0,1.0,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_AZ_normalized,9.601334814717081e-07,9.60133480387388e-07,1.000000001129343,0.9660035676677674,0.25852873583635694,1.0000000000000004,0.0,0.3,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
