case,stage_case,mesh_nm,method,R,T,A,role,status,source,dofs,cells,elapsed_s,max_rss_mb,result_dir,dR_probe_port,dT_probe_port,dA_flux_port,dA_volume_port,closure_error_port_volume,consistency_pass
flat_layer,stage4_flat_layer_sanity,3,net_flux,1.7605767498566272,-0.8014459842715816,0.04086923441495449,diagnostic,ok,sampled_poynting_flux,186235,58956,2286.8731557580177,12467.3125,results/3D_stage4_flat_layer_sanity_normal_p1_h3p0_20260702_143726,0.7601249316379917,-1.042374391474493,0.11381622706481886,0.10689806468099806,0.10689806468099805,False
flat_layer,stage4_flat_layer_sanity,3,volume_absorption,,,0.03395107203113369,absorption_check,ok,volume_integral_Im_epsilon_E2,186235,58956,2286.8731557580177,12467.3125,results/3D_stage4_flat_layer_sanity_normal_p1_h3p0_20260702_143726,0.7601249316379917,-1.042374391474493,0.11381622706481886,0.10689806468099806,0.10689806468099805,False
zero_contrast_block,stage4_block_grating,10,port,1.0000000009176002,1.025383109747569e-10,-1.0201385290058685e-09,primary,ok,dtn_auxiliary_port_amplitudes,6384,1815,34.68294016801519,416.36328125,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_151612,-0.9962810717186895,-7.256266540922614e-11,1.244274905131596e-09,1.4949355345468964e-09,1.4949355087168215e-09,False
zero_contrast_block,stage4_block_grating,10,probe_eh_fourier,0.0037189291989106884,2.997564556553076e-11,0.9962810707711137,cross_check,ok,eh_fourier_orders,6384,1815,34.68294016801519,416.36328125,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_151612,-0.9962810717186895,-7.256266540922614e-11,1.244274905131596e-09,1.4949355345468964e-09,1.4949355087168215e-09,False
zero_contrast_block,stage4_block_grating,10,net_flux,0.9999999997978557,-2.1992080874120817e-11,2.2413637612572757e-10,diagnostic,ok,sampled_poynting_flux,6384,1815,34.68294016801519,416.36328125,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_151612,-0.9962810717186895,-7.256266540922614e-11,1.244274905131596e-09,1.4949355345468964e-09,1.4949355087168215e-09,False
zero_contrast_block,stage4_block_grating,10,volume_absorption,,,4.747970055410279e-10,absorption_check,ok,volume_integral_Im_epsilon_E2,6384,1815,34.68294016801519,416.36328125,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_151612,-0.9962810717186895,-7.256266540922614e-11,1.244274905131596e-09,1.4949355345468964e-09,1.4949355087168215e-09,False
zero_contrast_block,stage4_block_grating,5,port,0.018428735962445878,1.0440976785164733,-0.06252641447891916,primary,ok,dtn_auxiliary_port_amplitudes,39270,12000,104.16360307997093,1731.76171875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_151734,0.6208168094786356,-1.0397405124321955,0.08727223441279564,0.09162752920233999,0.09162752920234007,False
zero_contrast_block,stage4_block_grating,5,probe_eh_fourier,0.6392455454410815,0.0043571660842778425,0.3563972884746407,cross_check,ok,eh_fourier_orders,39270,12000,104.16360307997093,1731.76171875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_151734,0.6208168094786356,-1.0397405124321955,0.08727223441279564,0.09162752920233999,0.09162752920234007,False
zero_contrast_block,stage4_block_grating,5,net_flux,1.5159185709721261,-0.5406643909060026,0.02474581993387648,diagnostic,ok,sampled_poynting_flux,39270,12000,104.16360307997093,1731.76171875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_151734,0.6208168094786356,-1.0397405124321955,0.08727223441279564,0.09162752920233999,0.09162752920234007,False
zero_contrast_block,stage4_block_grating,5,volume_absorption,,,0.029101114723420828,absorption_check,ok,volume_integral_Im_epsilon_E2,39270,12000,104.16360307997093,1731.76171875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_151734,0.6208168094786356,-1.0397405124321955,0.08727223441279564,0.09162752920233999,0.09162752920234007,False
zero_contrast_block,stage4_block_grating,3,port,0.001889043208950882,1.0710579494405659,-0.07294699264951676,primary,ok,dtn_auxiliary_port_amplitudes,197136,62475,2636.7187725050026,13201.66796875,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_151941,0.7601249316379606,-1.0423743914741472,0.11381622706411054,0.10689806468062402,0.1068980646806239,False
zero_contrast_block,stage4_block_grating,3,probe_eh_fourier,0.7620139748469115,0.028683557966418676,0.2093024671866699,cross_check,ok,eh_fourier_orders,197136,62475,2636.7187725050026,13201.66796875,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_151941,0.7601249316379606,-1.0423743914741472,0.11381622706411054,0.10689806468062402,0.1068980646806239,False
zero_contrast_block,stage4_block_grating,3,net_flux,1.760576749856713,-0.8014459842713069,0.04086923441459378,diagnostic,ok,sampled_poynting_flux,197136,62475,2636.7187725050026,13201.66796875,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_151941,0.7601249316379606,-1.0423743914741472,0.11381622706411054,0.10689806468062402,0.1068980646806239,False
zero_contrast_block,stage4_block_grating,3,volume_absorption,,,0.03395107203110725,absorption_check,ok,volume_integral_Im_epsilon_E2,197136,62475,2636.7187725050026,13201.66796875,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_151941,0.7601249316379606,-1.0423743914741472,0.11381622706411054,0.10689806468062402,0.1068980646806239,False
real_si_block,stage4_block_grating,10,port,1.0000008683088495,1.703589431304317e-10,-8.684792084318718e-07,primary,ok,dtn_auxiliary_port_amplitudes,6384,1815,10.259426150994841,414.8359375,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_160405,-0.9962820207388541,-1.3116885813951988e-10,1.0779017699464435e-06,1.2726877915258747e-06,1.2726877913760148e-06,False
real_si_block,stage4_block_grating,10,probe_eh_fourier,0.0037188475699953863,3.919008499091184e-11,0.9962811523908145,cross_check,ok,eh_fourier_orders,6384,1815,10.259426150994841,414.8359375,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_160405,-0.9962820207388541,-1.3116885813951988e-10,1.0779017699464435e-06,1.2726877915258747e-06,1.2726877913760148e-06,False
real_si_block,stage4_block_grating,10,net_flux,0.9999997906261467,-4.870825710214411e-11,2.0942256151457173e-07,diagnostic,ok,sampled_poynting_flux,6384,1815,10.259426150994841,414.8359375,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_160405,-0.9962820207388541,-1.3116885813951988e-10,1.0779017699464435e-06,1.2726877915258747e-06,1.2726877913760148e-06,False
real_si_block,stage4_block_grating,10,volume_absorption,,,4.042085830940029e-07,absorption_check,ok,volume_integral_Im_epsilon_E2,6384,1815,10.259426150994841,414.8359375,results/3D_stage4_block_grating_normal_p1_h10p0_20260702_160405,-0.9962820207388541,-1.3116885813951988e-10,1.0779017699464435e-06,1.2726877915258747e-06,1.2726877913760148e-06,False
real_si_block,stage4_block_grating,5,port,0.018313325384278805,1.0608629024736287,-0.07917622785790746,primary,ok,dtn_auxiliary_port_amplitudes,39270,12000,104.21245751797687,1730.48046875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_160436,0.6200711373671627,-1.0564359546577509,0.1125443320093823,0.1160265176027668,0.11602651760276683,False
real_si_block,stage4_block_grating,5,probe_eh_fourier,0.6383844627514415,0.004426947815877771,0.3571885894326807,cross_check,ok,eh_fourier_orders,39270,12000,104.21245751797687,1730.48046875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_160436,0.6200711373671627,-1.0564359546577509,0.1125443320093823,0.1160265176027668,0.11602651760276683,False
real_si_block,stage4_block_grating,5,net_flux,1.5159813169588192,-0.5493494211102941,0.03336810415147484,diagnostic,ok,sampled_poynting_flux,39270,12000,104.21245751797687,1730.48046875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_160436,0.6200711373671627,-1.0564359546577509,0.1125443320093823,0.1160265176027668,0.11602651760276683,False
real_si_block,stage4_block_grating,5,volume_absorption,,,0.03685028974485935,absorption_check,ok,volume_integral_Im_epsilon_E2,39270,12000,104.21245751797687,1730.48046875,results/3D_stage4_block_grating_normal_p1_h5p0_20260702_160436,0.6200711373671627,-1.0564359546577509,0.1125443320093823,0.1160265176027668,0.11602651760276683,False
real_si_block,stage4_block_grating,3,port,0.0018863332525102406,1.090512319586934,-0.09239865283944415,primary,ok,dtn_auxiliary_port_amplitudes,197136,62475,2623.154805776023,13213.40234375,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_160642,0.7601268483176826,-1.06132109226419,0.1473630184295318,0.13540293861166697,0.13540293861166708,False
real_si_block,stage4_block_grating,3,probe_eh_fourier,0.7620131815701928,0.029191227322743957,0.20879559110706325,cross_check,ok,eh_fourier_orders,197136,62475,2623.154805776023,13213.40234375,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_160642,0.7601268483176826,-1.06132109226419,0.1473630184295318,0.13540293861166697,0.13540293861166708,False
real_si_block,stage4_block_grating,3,net_flux,1.760578781916236,-0.8155431475063236,0.05496436559008766,diagnostic,ok,sampled_poynting_flux,197136,62475,2623.154805776023,13213.40234375,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_160642,0.7601268483176826,-1.06132109226419,0.1473630184295318,0.13540293861166697,0.13540293861166708,False
real_si_block,stage4_block_grating,3,volume_absorption,,,0.043004285772222824,absorption_check,ok,volume_integral_Im_epsilon_E2,197136,62475,2623.154805776023,13213.40234375,results/3D_stage4_block_grating_normal_p1_h3p0_20260702_160642,0.7601268483176826,-1.06132109226419,0.1473630184295318,0.13540293861166697,0.13540293861166708,False
