auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,power_carrying,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
521,bottom,outgoing_down,substrate,-6,-1,-6,-1,p,5.0246343266325200e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.1155795747260577e+00+6.1257753341606019e-03j,-1.1155795747260577e+00-6.1257753341606019e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.4306652768446741e-13-2.1805067400458209e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.4306652768446741e-13-2.1805067400458209e-13j,1.5005727805173266e-01-9.2853379017640025e-01j,-2.3894132031381059e-13+1.9297539359740216e-13j,5.233977533664025e-23,4.798400772957236e-24,dtn_port_modal_amplitudes,0.0,4.798400772957236e-24
522,bottom,outgoing_down,substrate,-6,0,-6,0,s,5.0246343266325200e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1435389994108942e+00+5.9760006835540853e-03j,-1.1435389994108942e+00-5.9760006835540853e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,3.9822914671333251e-06-3.5361213336016390e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,3.9822914671333251e-06-3.5361213336016390e-05j,4.0107388864456583e-01-8.5234147173120056e-01j,-2.8542635492581930e-05-1.7576731509825196e-05j,6.390604775031379e-07,5.8587723571499716e-08,dtn_port_modal_amplitudes,0.0,5.8587723571499716e-08
523,bottom,outgoing_down,substrate,-6,0,-6,0,p,5.0246343266325200e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1435389994108942e+00+5.9760006835540853e-03j,-1.1435389994108942e+00-5.9760006835540853e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,6.8466958451221574e-14+3.1811806351855979e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,6.8466958451221574e-14+3.1811806351855979e-14j,4.0107388864456583e-01-8.5234147173120056e-01j,5.4574831114066241e-14-4.5598343252926380e-14j,2.8765201723279276e-24,2.6371333330242415e-25,dtn_port_modal_amplitudes,0.0,2.6371333330242415e-25
524,bottom,outgoing_down,substrate,-6,1,-6,1,s,5.0246343266325200e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.1155795747260577e+00+6.1257753341606019e-03j,-1.1155795747260577e+00-6.1257753341606019e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.0907102575713524e-15-3.6526864632844757e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.0907102575713524e-15-3.6526864632844757e-15j,1.5005727805173266e-01-9.2853379017640025e-01j,-3.7053690965255590e-15+1.3931829313665273e-15j,8.694800578910645e-27,7.971210718848299e-28,dtn_port_modal_amplitudes,0.0,7.971210718848299e-28
525,bottom,outgoing_down,substrate,-6,1,-6,1,p,5.0246343266325200e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.1155795747260577e+00+6.1257753341606019e-03j,-1.1155795747260577e+00-6.1257753341606019e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.4389149026926532e-13+1.6814367286665036e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.4389149026926532e-13+1.6814367286665036e-13j,1.5005727805173266e-01-9.2853379017640025e-01j,1.1952938869126503e-13+2.5169267172348210e-13j,4.307611425253189e-23,3.949127763654083e-24,dtn_port_modal_amplitudes,0.0,3.949127763654083e-24
526,bottom,outgoing_down,substrate,-6,2,-6,2,s,5.0246343266325200e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.0271456190786532e+00+6.6531850160449005e-03j,-1.0271456190786532e+00-6.6531850160449005e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.0268761609280507e-16-1.0882851911700471e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.0268761609280507e-16-1.0882851911700471e-14j,-6.1983362368646455e-01-7.0086775173732907e-01j,-7.5018073522846287e-15+6.8876147502684350e-15j,5.298456805422407e-26,4.857514016270787e-27,dtn_port_modal_amplitudes,0.0,4.857514016270787e-27
527,bottom,outgoing_down,substrate,-6,2,-6,2,p,5.0246343266325200e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.0271456190786532e+00+6.6531850160449005e-03j,-1.0271456190786532e+00-6.6531850160449005e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,1.0956140026039323e-13-3.9825693339274439e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0956140026039323e-13-3.9825693339274439e-13j,-6.1983362368646455e-01-7.0086775173732907e-01j,-3.4703528126033865e-13+1.7006498590538827e-13j,7.62998424622967e-23,6.995009449177e-24,dtn_port_modal_amplitudes,0.0,6.995009449177e-24
528,bottom,outgoing_down,substrate,-6,3,-6,3,s,5.0246343266325200e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,8.5977886269402659e-01+7.9483110584241366e-03j,-8.5977886269402659e-01-7.9483110584241366e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,4.6451961425512960e-16-1.4640162282720015e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,4.6451961425512960e-16-1.4640162282720015e-15j,-6.2536003313419108e-01+6.7966903830796443e-01j,7.0455450057481509e-16+1.2312568365171428e-15j,8.605362371532015e-28,7.889215647096989e-29,dtn_port_modal_amplitudes,0.0,7.889215647096989e-29
529,bottom,outgoing_down,substrate,-6,3,-6,3,p,5.0246343266325200e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,8.5977886269402659e-01+7.9483110584241366e-03j,-8.5977886269402659e-01-7.9483110584241366e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.6141921192164710e-15-9.3776439925496552e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.6141921192164710e-15-9.3776439925496552e-15j,-6.2536003313419108e-01+6.7966903830796443e-01j,8.0085055443030371e-15+4.0876183142813819e-15j,3.4570759846128595e-26,3.1693747193304388e-27,dtn_port_modal_amplitudes,0.0,3.1693747193304388e-27
530,bottom,outgoing_down,substrate,-6,4,-6,4,s,5.0246343266325200e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,5.4511961902564321e-01+1.2536312404908668e-02j,-5.4511961902564321e-01-1.2536312404908668e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.7577098890296561e-15-6.4669565721214784e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.7577098890296561e-15-6.4669565721214784e-15j,5.9406347561978501e-01-6.5216866894429648e-01j,-5.2617377055692592e-15-2.6954593791979990e-15j,9.476028437070891e-27,8.68742402590612e-28,dtn_port_modal_amplitudes,0.0,8.68742402590612e-28
531,bottom,outgoing_down,substrate,-6,4,-6,4,p,5.0246343266325200e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,5.4511961902564321e-01+1.2536312404908668e-02j,-5.4511961902564321e-01-1.2536312404908668e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-8.7035235693965908e-16-6.9510823794478239e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-8.7035235693965908e-16-6.9510823794478239e-15j,5.9406347561978501e-01-6.5216866894429648e-01j,-5.0503226893040857e-15-3.5617676195163509e-15j,1.0354610678836e-26,9.492889788966237e-28,dtn_port_modal_amplitudes,0.0,9.492889788966237e-28
