auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,power_carrying,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
303,top,outgoing_up,air,0,0,0,0,p,1.2564456695248023e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,2.1931340740328230e-02+0.0000000000000000e+00j,2.1931340740328230e-02+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.3888237463335729e-13-1.3783474262474747e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.3888237463335729e-13-1.3783474262474747e-13j,-9.5809552134517606e-01+2.8644889941892809e-01j,1.7254519145655265e-13+9.2276146232123128e-14j,4.176222360132054e-25,3.828673025822215e-26,dtn_port_modal_amplitudes,3.828673025822215e-26,0.0
304,bottom,outgoing_down,substrate,-19,-2,-19,-2,s,-1.1311647472034403e+00+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,1.7176323196693979e-01+3.9786104184774511e-02j,-1.7176323196693979e-01-3.9786104184774511e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.5853842584015332e-13+2.4365827965898217e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.5853842584015332e-13+2.4365827965898217e-13j,-9.8283796179428159e-02+6.6452657477652499e-01j,-1.4633564366584303e-13-1.2930065778945271e-13j,3.2576080735450884e-24,2.986506724102778e-25,dtn_port_modal_amplitudes,0.0,2.986506724102778e-25
305,bottom,outgoing_down,substrate,-19,-2,-19,-2,p,-1.1311647472034403e+00+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,1.7176323196693979e-01+3.9786104184774511e-02j,-1.7176323196693979e-01-3.9786104184774511e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,6.0633829590644811e-14-8.4275360273597180e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,6.0633829590644811e-14-8.4275360273597180e-14j,-9.8283796179428159e-02+6.6452657477652499e-01j,5.0043893551606047e-14+4.8575693425532807e-14j,4.155209882792579e-25,3.809409227523697e-26,dtn_port_modal_amplitudes,0.0,3.809409227523697e-26
306,bottom,outgoing_down,substrate,-19,-1,-19,-1,s,-1.1311647472034403e+00+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,4.6650901935770428e-01+1.4648783964689707e-02j,-4.6650901935770428e-01-1.4648783964689707e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-5.2101924903471680e-14-1.1414620466907302e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.2101924903471680e-14-1.1414620466907302e-13j,-4.0838444964536945e-02-8.6277025106110583e-01j,-9.6354188067291632e-14+4.9613544327023849e-14j,2.7252518143325168e-24,2.498453676632781e-25,dtn_port_modal_amplitudes,0.0,2.498453676632781e-25
307,bottom,outgoing_down,substrate,-19,-1,-19,-1,p,-1.1311647472034403e+00+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,4.6650901935770428e-01+1.4648783964689707e-02j,-4.6650901935770428e-01-1.4648783964689707e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,8.8549589620927227e-14+1.9551598916560956e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,8.8549589620927227e-14+1.9551598916560956e-13j,-4.0838444964536945e-02-8.6277025106110583e-01j,1.6506915151650682e-13-8.4382520631832024e-14j,7.974205469998388e-24,7.310584243982018e-25,dtn_port_modal_amplitudes,0.0,7.310584243982018e-25
308,bottom,outgoing_down,substrate,-19,0,-19,0,s,-1.1311647472034403e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,5.2985648083479497e-01+1.2897435606305210e-02j,-5.2985648083479497e-01-1.2897435606305210e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,7.9757312534432215e-05+1.0793638325859454e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,7.9757312534432215e-05+1.0793638325859454e-04j,4.8624267407035515e-01-7.3225877925964644e-01j,1.1781877316604715e-04-5.9197166883517065e-06j,3.667350213073617e-06,3.362149719583975e-07,dtn_port_modal_amplitudes,0.0,3.362149719583975e-07
309,bottom,outgoing_down,substrate,-19,0,-19,0,p,-1.1311647472034403e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,5.2985648083479497e-01+1.2897435606305210e-02j,-5.2985648083479497e-01-1.2897435606305210e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.1034542521208455e-13+1.1107062932352982e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.1034542521208455e-13+1.1107062932352982e-13j,4.8624267407035515e-01-7.3225877925964644e-01j,2.7677788813494263e-14+1.3480868617563798e-13j,4.99109205928502e-24,4.575728466760991e-25,dtn_port_modal_amplitudes,0.0,4.575728466760991e-25
310,bottom,outgoing_down,substrate,-19,1,-19,1,s,-1.1311647472034403e+00+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,4.6650901935770428e-01+1.4648783964689707e-02j,-4.6650901935770428e-01-1.4648783964689707e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-7.5777071408252429e-14+6.7655897401968226e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-7.5777071408252429e-14+6.7655897401968226e-14j,-4.0838444964536945e-02-8.6277025106110583e-01j,6.1466113347540246e-14+6.2615241280996654e-14j,1.7862839722670158e-24,1.6376276623501021e-25,dtn_port_modal_amplitudes,0.0,1.6376276623501021e-25
311,bottom,outgoing_down,substrate,-19,1,-19,1,p,-1.1311647472034403e+00+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,4.6650901935770428e-01+1.4648783964689707e-02j,-4.6650901935770428e-01-1.4648783964689707e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.2908958688863133e-13+1.1549352817876711e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.2908958688863133e-13+1.1549352817876711e-13j,-4.0838444964536945e-02-8.6277025106110583e-01j,1.0491619829237398e-13+1.0665807919499012e-13j,5.193443023595377e-24,4.761239584703399e-25,dtn_port_modal_amplitudes,0.0,4.761239584703399e-25
312,bottom,outgoing_down,substrate,-19,2,-19,2,s,-1.1311647472034403e+00+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.7176323196693979e-01+3.9786104184774511e-02j,-1.7176323196693979e-01-3.9786104184774511e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,2.1645773053462051e-13-1.9498912517014749e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,2.1645773053462051e-13-1.9498912517014749e-13j,-9.8283796179428159e-02+6.6452657477652499e-01j,1.0830116799866297e-13+1.6300618569149917e-13j,3.271906917962114e-24,2.9996156046170244e-25,dtn_port_modal_amplitudes,0.0,2.9996156046170244e-25
313,bottom,outgoing_down,substrate,-19,2,-19,2,p,-1.1311647472034403e+00+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.7176323196693979e-01+3.9786104184774511e-02j,-1.7176323196693979e-01-3.9786104184774511e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,8.2187655252379601e-14-6.6151191070094186e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,8.2187655252379601e-14-6.6151191070094186e-14j,-9.8283796179428159e-02+6.6452657477652499e-01j,3.5881509661907154e-14+6.1117471213937238e-14j,4.290902686600946e-25,3.933809542674266e-26,dtn_port_modal_amplitudes,0.0,3.933809542674266e-26
314,bottom,outgoing_down,substrate,-18,-2,-18,-2,s,-1.0055010410598488e+00+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,5.4459019487602089e-01+1.2548499599237203e-02j,-5.4459019487602089e-01-1.2548499599237203e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-5.9621662489884148e-16-3.6909714164706038e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.9621662489884148e-16-3.6909714164706038e-15j,5.9053045435877805e-01-6.5522477157939341e-01j,-2.7704999776607915e-15-1.7889751257324678e-15j,2.9458677640719065e-27,2.700709749943648e-28,dtn_port_modal_amplitudes,0.0,2.700709749943648e-28
315,bottom,outgoing_down,substrate,-18,-2,-18,-2,p,-1.0055010410598488e+00+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,5.4459019487602089e-01+1.2548499599237203e-02j,-5.4459019487602089e-01-1.2548499599237203e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,1.5656502537506241e-15-6.9569291861500858e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5656502537506241e-15-6.9569291861500858e-16j,5.9053045435877805e-01-6.5522477157939341e-01j,4.6872892202537151e-16-1.4366806852108773e-15j,6.185717608281445e-28,5.67093610203069e-29,dtn_port_modal_amplitudes,0.0,5.67093610203069e-29
316,bottom,outgoing_down,substrate,-18,-1,-18,-1,s,-1.0055010410598488e+00+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,6.9714669136733443e-01+9.8025134835639030e-03j,-6.9714669136733443e-01-9.8025134835639030e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,1.7795296483106749e-15-1.2846778346225473e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,1.7795296483106749e-15-1.2846778346225473e-16j,7.0022243287586217e-01+5.7589882612259513e-01j,1.3200510254053124e-15+9.3487301163036269e-16j,9.072328293493837e-28,8.317320205527852e-29,dtn_port_modal_amplitudes,0.0,8.317320205527852e-29
317,bottom,outgoing_down,substrate,-18,-1,-18,-1,p,-1.0055010410598488e+00+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,6.9714669136733443e-01+9.8025134835639030e-03j,-6.9714669136733443e-01-9.8025134835639030e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.5740002375244502e-15+2.9114603957312237e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.5740002375244502e-15+2.9114603957312237e-15j,7.0022243287586217e-01+5.7589882612259513e-01j,-2.7788568998705934e-15+1.1322049924136211e-15j,3.1219548492331752e-27,2.8621426946040205e-28,dtn_port_modal_amplitudes,0.0,2.8621426946040205e-28
318,bottom,outgoing_down,substrate,-18,0,-18,0,s,-1.0055010410598488e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,7.4105865298684870e-01+9.2216585213688012e-03j,-7.4105865298684870e-01-9.2216585213688012e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,2.3062584603438292e-06-5.1142072571781977e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,2.3062584603438292e-06-5.1142072571781977e-05j,3.9121633135655559e-01+8.2372646792393334e-01j,4.3029324775879168e-05-1.8107887873844560e-05j,8.032733300931603e-07,7.364241331232228e-08,dtn_port_modal_amplitudes,0.0,7.364241331232228e-08
319,bottom,outgoing_down,substrate,-18,0,-18,0,p,-1.0055010410598488e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,7.4105865298684870e-01+9.2216585213688012e-03j,-7.4105865298684870e-01-9.2216585213688012e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,2.2037263988098269e-15-1.4206610915421188e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,2.2037263988098269e-15-1.4206610915421188e-15j,3.9121633135655559e-01+8.2372646792393334e-01j,2.0323699001089235e-15+1.2594819424282404e-15j,2.1070625072306196e-27,1.9317106919805176e-28,dtn_port_modal_amplitudes,0.0,1.9317106919805176e-28
320,bottom,outgoing_down,substrate,-18,1,-18,1,s,-1.0055010410598488e+00+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,6.9714669136733443e-01+9.8025134835639030e-03j,-6.9714669136733443e-01-9.8025134835639030e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.6056223199615894e-15-1.9807140415971202e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.6056223199615894e-15-1.9807140415971202e-15j,7.0022243287586217e-01+5.7589882612259513e-01j,1.6398124277032422e-17-2.3116164143006343e-15j,1.8528818070928158e-27,1.6986831598278853e-28,dtn_port_modal_amplitudes,0.0,1.6986831598278853e-28
321,bottom,outgoing_down,substrate,-18,1,-18,1,p,-1.0055010410598488e+00+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,6.9714669136733443e-01+9.8025134835639030e-03j,-6.9714669136733443e-01-9.8025134835639030e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.0170287518177712e-15-1.4188238705046729e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.0170287518177712e-15-1.4188238705046729e-15j,7.0022243287586217e-01+5.7589882612259513e-01j,-5.9526977828004533e-16-2.1550967928545070e-15j,1.733241456504579e-27,1.5889993969444808e-28,dtn_port_modal_amplitudes,0.0,1.5889993969444808e-28
322,bottom,outgoing_down,substrate,-18,2,-18,2,s,-1.0055010410598488e+00+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,5.4459019487602089e-01+1.2548499599237203e-02j,-5.4459019487602089e-01-1.2548499599237203e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-3.1806038425889797e-15+4.8832405683949299e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.1806038425889797e-15+4.8832405683949299e-15j,5.9053045435877805e-01-6.5522477157939341e-01j,1.3213767536944498e-15+4.9677126978423802e-15j,7.157179627561739e-27,6.561552096125323e-28,dtn_port_modal_amplitudes,0.0,6.561552096125323e-28
323,bottom,outgoing_down,substrate,-18,2,-18,2,p,-1.0055010410598488e+00+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,5.4459019487602089e-01+1.2548499599237203e-02j,-5.4459019487602089e-01-1.2548499599237203e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.7543312809751715e-15+3.5292861942114291e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.7543312809751715e-15+3.5292861942114291e-15j,5.9053045435877805e-01-6.5522477157939341e-01j,1.2764896919904053e-15+3.2336322926813793e-15j,3.273523843375105e-27,3.001097967906054e-28,dtn_port_modal_amplitudes,0.0,3.001097967906054e-28
324,bottom,outgoing_down,substrate,-17,-3,-17,-3,s,-8.7983733491625737e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,4.6661201708300420e-01+1.4645550461540334e-02j,-4.6661201708300420e-01-1.4645550461540334e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,5.9093388068183921e-16+1.3344160292644855e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,5.9093388068183921e-16+1.3344160292644855e-16j,-3.9951081525297402e-02-8.6283975558640780e-01j,9.1530272410934824e-17-5.1521238153262659e-16j,6.35468106783621e-29,5.8258382562173454e-30,dtn_port_modal_amplitudes,0.0,5.8258382562173454e-30
325,bottom,outgoing_down,substrate,-17,-3,-17,-3,p,-8.7983733491625737e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,4.6661201708300420e-01+1.4645550461540334e-02j,-4.6661201708300420e-01-1.4645550461540334e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-4.4860525546416248e-16-1.1497890414378663e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.4860525546416248e-16-1.1497890414378663e-15j,-3.9951081525297402e-02-8.6283975558640780e-01j,-9.7416143035645309e-16+4.3300976471085374e-16j,2.637490521433088e-28,2.4179959648875903e-29,dtn_port_modal_amplitudes,0.0,2.4179959648875903e-29
326,bottom,outgoing_down,substrate,-17,-2,-17,-2,s,-8.7983733491625737e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,7.3036098715000219e-01+9.3567290180940742e-03j,-7.3036098715000219e-01-9.3567290180940742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-3.2566106399088026e-16+2.5327697130216563e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.2566106399088026e-16+2.5327697130216563e-15j,4.7628769337904214e-01+7.7619723665697593e-01j,-2.1210372093274724e-15+9.5354982651889124e-16j,1.964485870628468e-27,1.8009994233751138e-28,dtn_port_modal_amplitudes,0.0,1.8009994233751138e-28
327,bottom,outgoing_down,substrate,-17,-2,-17,-2,p,-8.7983733491625737e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,7.3036098715000219e-01+9.3567290180940742e-03j,-7.3036098715000219e-01-9.3567290180940742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-8.1379853172473265e-16-4.7745391997190677e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-8.1379853172473265e-16-4.7745391997190677e-16j,4.7628769337904214e-01+7.7619723665697593e-01j,-1.7003812237189199e-17-8.5907359775844318e-16j,2.6818752635602045e-28,2.4586869650992722e-29,dtn_port_modal_amplitudes,0.0,2.4586869650992722e-29
328,bottom,outgoing_down,substrate,-17,-1,-17,-1,s,-8.7983733491625737e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,8.5023563173752281e-01+8.0375246426509749e-03j,-8.5023563173752281e-01-8.0375246426509749e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-7.7901160661902629e-16+6.0339943871945147e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-7.7901160661902629e-16+6.0339943871945147e-16j,-5.5725317052382439e-01+7.3550894284468071e-01j,-9.6989956223068025e-18-9.0921625356680667e-16j,3.4961757293614193e-28,3.205220544845968e-29,dtn_port_modal_amplitudes,0.0,3.205220544845968e-29
329,bottom,outgoing_down,substrate,-17,-1,-17,-1,p,-8.7983733491625737e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,8.5023563173752281e-01+8.0375246426509749e-03j,-8.5023563173752281e-01-8.0375246426509749e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-5.5185207590242511e-15+9.3935354476069313e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.5185207590242511e-15+9.3935354476069313e-15j,-5.5725317052382439e-01+7.3550894284468071e-01j,-3.8338161370756030e-15-9.2934987801432464e-15j,4.273856846754158e-26,3.918182274393029e-27,dtn_port_modal_amplitudes,0.0,3.918182274393029e-27
330,bottom,outgoing_down,substrate,-17,0,-17,0,s,-8.7983733491625737e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,8.8660075956709739e-01+7.7078547118400948e-03j,-8.8660075956709739e-01-7.7078547118400948e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-4.7413432604405906e-05+3.7981004912939678e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.7413432604405906e-05+3.7981004912939678e-05j,-7.8500741393092932e-01+4.9081638029780744e-01j,1.8578196762930792e-05-5.3086659813593248e-05j,1.3949046304464667e-06,1.2788192944822076e-07,dtn_port_modal_amplitudes,0.0,1.2788192944822076e-07
331,bottom,outgoing_down,substrate,-17,0,-17,0,p,-8.7983733491625737e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,8.8660075956709739e-01+7.7078547118400948e-03j,-8.8660075956709739e-01-7.7078547118400948e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,2.3907166258522992e-14-1.7486495754009011e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,2.3907166258522992e-14-1.7486495754009011e-14j,-7.8500741393092932e-01+4.9081638029780744e-01j,-1.0184644208944222e-14+2.5461057616754921e-14j,3.3159786266844037e-25,3.0400196223718614e-26,dtn_port_modal_amplitudes,0.0,3.0400196223718614e-26
332,bottom,outgoing_down,substrate,-17,1,-17,1,s,-8.7983733491625737e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,8.5023563173752281e-01+8.0375246426509749e-03j,-8.5023563173752281e-01-8.0375246426509749e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,1.6017180487512970e-15+3.1094229348115833e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,1.6017180487512970e-15+3.1094229348115833e-16j,-5.5725317052382439e-01+7.3550894284468071e-01j,-1.1212632985159209e-15+1.0048043698799861e-15j,9.5859413660631e-28,8.788189892790727e-29,dtn_port_modal_amplitudes,0.0,8.788189892790727e-29
333,bottom,outgoing_down,substrate,-17,1,-17,1,p,-8.7983733491625737e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,8.5023563173752281e-01+8.0375246426509749e-03j,-8.5023563173752281e-01-8.0375246426509749e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-5.6513495636888263e-15+3.0638755241049462e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.6513495636888263e-15+3.0638755241049462e-15j,-5.5725317052382439e-01+7.3550894284468071e-01j,8.9572461436190919e-16-5.8639724931323419e-15j,1.488024766250996e-26,1.364189880952711e-27,dtn_port_modal_amplitudes,0.0,1.364189880952711e-27
334,bottom,outgoing_down,substrate,-17,2,-17,2,s,-8.7983733491625737e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,7.3036098715000219e-01+9.3567290180940742e-03j,-7.3036098715000219e-01-9.3567290180940742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.1340196832820644e-15-2.2342925308919569e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.1340196832820644e-15-2.2342925308919569e-15j,4.7628769337904214e-01+7.7619723665697593e-01j,1.1941320691648116e-15-1.9443889803507096e-15j,1.8913065491356783e-27,1.7339101570271034e-28,dtn_port_modal_amplitudes,0.0,1.7339101570271034e-28
335,bottom,outgoing_down,substrate,-17,2,-17,2,p,-8.7983733491625737e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,7.3036098715000219e-01+9.3567290180940742e-03j,-7.3036098715000219e-01-9.3567290180940742e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.3836713956954192e-15-4.7350702890307522e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.3836713956954192e-15-4.7350702890307522e-16j,4.7628769337904214e-01+7.7619723665697593e-01j,-7.6777850345715146e-16-2.0757247210320703e-15j,1.7792495736289098e-27,1.6311786732886707e-28,dtn_port_modal_amplitudes,0.0,1.6311786732886707e-28
336,bottom,outgoing_down,substrate,-17,3,-17,3,s,-8.7983733491625737e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,4.6661201708300420e-01+1.4645550461540334e-02j,-4.6661201708300420e-01-1.4645550461540334e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-2.5559963390318393e-15+1.0380432336040065e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.5559963390318393e-15+1.0380432336040065e-15j,-3.9951081525297402e-02-8.6283975558640780e-01j,9.9777978809002797e-16+2.1639443065974885e-15j,1.3177658453042152e-27,1.2081000749458477e-28,dtn_port_modal_amplitudes,0.0,1.2081000749458477e-28
337,bottom,outgoing_down,substrate,-17,3,-17,3,p,-8.7983733491625737e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,4.6661201708300420e-01+1.4645550461540334e-02j,-4.6661201708300420e-01-1.4645550461540334e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.4615498489100290e-15+8.2046734003632013e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.4615498489100290e-15+8.2046734003632013e-16j,-3.9951081525297402e-02-8.6283975558640780e-01j,7.6632233631065933e-16+1.2283047568202457e-15j,4.864225775328537e-28,4.4594201197947314e-29,dtn_port_modal_amplitudes,0.0,4.4594201197947314e-29
338,bottom,outgoing_down,substrate,-16,-3,-16,-3,s,-7.5417362877266547e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,6.5035265067191206e-01+1.0507821925673596e-02j,-6.5035265067191206e-01-1.0507821925673596e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.1315828243550809e-16-1.2701214115884085e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.1315828243550809e-16-1.2701214115884085e-15j,8.7848859858074035e-01+1.9676186484568348e-01j,1.5050319656999403e-16-1.1380524135684377e-15j,4.262587946071492e-28,3.9078511827140346e-29,dtn_port_modal_amplitudes,0.0,3.9078511827140346e-29
339,bottom,outgoing_down,substrate,-16,-3,-16,-3,p,-7.5417362877266547e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,6.5035265067191206e-01+1.0507821925673596e-02j,-6.5035265067191206e-01-1.0507821925673596e-02j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.1467021921328394e-15-2.6960959512254770e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.1467021921328394e-15-2.6960959512254770e-15j,8.7848859858074035e-01+1.9676186484568348e-01j,-4.7687593459021912e-16-2.5941168155779682e-15j,2.250255731664292e-27,2.0629872353713662e-28,dtn_port_modal_amplitudes,0.0,2.0629872353713662e-28
340,bottom,outgoing_down,substrate,-16,-2,-16,-2,s,-7.5417362877266547e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,8.5949910618359893e-01+7.9508981370487678e-03j,-8.5949910618359893e-01-7.9508981370487678e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-6.7941172372777337e-16+1.0121053235529556e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.7941172372777337e-16+1.0121053235529556e-15j,-6.2344004098962424e-01+6.8139823322705440e-01j,-2.6607430641900592e-16-1.0939369325835239e-15j,5.418278703418064e-28,4.967364218007719e-29,dtn_port_modal_amplitudes,0.0,4.967364218007719e-29
341,bottom,outgoing_down,substrate,-16,-2,-16,-2,p,-7.5417362877266547e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,8.5949910618359893e-01+7.9508981370487678e-03j,-8.5949910618359893e-01-7.9508981370487678e-03j,-1,True,True,False,9.9396854453000005e-01+4.3538077699999999e-03j,-1.1342579104006680e-14+2.4130318598803824e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.1342579104006680e-14+2.4130318598803824e-15j,-6.2344004098962424e-01+6.8139823322705440e-01j,5.4271823354868940e-15-9.2331940433413526e-15j,4.903457335927017e-26,4.495386791315441e-27,dtn_port_modal_amplitudes,0.0,4.495386791315441e-27
