auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
401,bottom,outgoing_down,substrate,-5,4,-5,4,p,-3.1415926535897931e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,2.3307821275853752e-01+1.6958021336446396e-03j,-2.3307821275853752e-01-1.6958021336446396e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,3.1274877365128134e-07+1.2463577568476447e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,3.1274877365128134e-07+1.2463577568476447e-07j,-6.7732708197908964e-01+7.1265747931378742e-01j,-3.0065583198158409e-07+1.3846356643403853e-07j,2.743479639870349e-10,5.486959279740699e-14,dtn_port_modal_amplitudes,0.0,5.486959279740699e-14
402,bottom,outgoing_down,substrate,-5,5,-5,5,s,-3.1415926535897931e-01+0.0000000000000000e+00j,3.1415926535897931e-01+0.0000000000000000e+00j,1.3711422769912743e-01+2.8826660597857309e-03j,-1.3711422769912743e-01-2.8826660597857309e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,4.9577745824620697e-06-2.1569701207375441e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,4.9577745824620697e-06-2.1569701207375441e-06j,1.9269468320661312e-01+9.5228457230469921e-01j,3.0093861714778946e-06+4.3055755737413496e-06j,4.0646875168795213e-08,8.129375033759044e-12,dtn_port_modal_amplitudes,0.0,8.129375033759044e-12
403,bottom,outgoing_down,substrate,-5,5,-5,5,p,-3.1415926535897931e-01+0.0000000000000000e+00j,3.1415926535897931e-01+0.0000000000000000e+00j,1.3711422769912743e-01+2.8826660597857309e-03j,-1.3711422769912743e-01-2.8826660597857309e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-3.3636643154511823e-07-1.8068607549502974e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.3636643154511823e-07-1.8068607549502974e-06j,1.9269468320661312e-01+9.5228457230469921e-01j,1.6558295982740646e-06-6.6848902417521017e-07j,4.6969201149871586e-09,9.39384022997432e-13,dtn_port_modal_amplitudes,0.0,9.39384022997432e-13
404,bottom,outgoing_down,substrate,-4,-6,-4,-6,s,-2.5132741228718347e-01+0.0000000000000000e+00j,-3.7699111843077515e-01+0.0000000000000000e+00j,1.0445399395798326e-01+3.7840059104010783e-03j,-1.0445399395798326e-01-3.7840059104010783e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,1.1349255319997293e-08-6.1125033268939094e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1349255319997293e-08-6.1125033268939094e-09j,4.8364785763862383e-01+8.3258481574728171e-01j,1.0578220477487057e-08+6.4929185106076032e-09j,1.7287399024799712e-13,3.457479804959943e-17,dtn_port_modal_amplitudes,0.0,3.457479804959943e-17
405,bottom,outgoing_down,substrate,-4,-6,-4,-6,p,-2.5132741228718347e-01+0.0000000000000000e+00j,-3.7699111843077515e-01+0.0000000000000000e+00j,1.0445399395798326e-01+3.7840059104010783e-03j,-1.0445399395798326e-01-3.7840059104010783e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,1.2509669784187700e-08-5.9710420273451281e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2509669784187700e-08-5.9710420273451281e-09j,4.8364785763862383e-01+8.3258481574728171e-01j,1.1021673917045424e-08+7.5274794279315971e-09j,1.9989917149093855e-13,3.997983429818772e-17,dtn_port_modal_amplitudes,0.0,3.997983429818772e-17
406,bottom,outgoing_down,substrate,-4,-5,-4,-5,s,-2.5132741228718347e-01+0.0000000000000000e+00j,-3.1415926535897931e-01+0.0000000000000000e+00j,2.3307821275853755e-01+1.6958021336446394e-03j,-2.3307821275853755e-01-1.6958021336446394e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-4.6956337916841991e-07-1.3596257890765958e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.6956337916841991e-07-1.3596257890765958e-07j,-6.7732708197908964e-01+7.1265747931378742e-01j,4.1494274218172131e-07-2.4254671734635353e-07j,5.784283572005414e-10,1.156856714401083e-13,dtn_port_modal_amplitudes,0.0,1.156856714401083e-13
407,bottom,outgoing_down,substrate,-4,-5,-4,-5,p,-2.5132741228718347e-01+0.0000000000000000e+00j,-3.1415926535897931e-01+0.0000000000000000e+00j,2.3307821275853755e-01+1.6958021336446394e-03j,-2.3307821275853755e-01-1.6958021336446394e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-2.1618901933781907e-07-8.5418478151836814e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.1618901933781907e-07-8.5418478151836814e-08j,-6.7732708197908964e-01+7.1265747931378742e-01j,2.0730479495051383e-07-9.6212473022931534e-08j,1.3078659111400286e-10,2.6157318222800575e-14,dtn_port_modal_amplitudes,0.0,2.6157318222800575e-14
408,bottom,outgoing_down,substrate,-4,-4,-4,-4,s,-2.5132741228718347e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,2.9975805579007508e-01+1.3185785097926098e-03j,-2.9975805579007508e-01-1.3185785097926098e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-9.2187915839323844e-07+2.1356256023638607e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,-9.2187915839323844e-07+2.1356256023638607e-08j,-9.7668453528683474e-01+1.4163488804806326e-01j,8.9736032647488463e-07-1.5142857638278324e-07j,2.6669983147612993e-09,5.333996629522599e-13,dtn_port_modal_amplitudes,0.0,5.333996629522599e-13
409,bottom,outgoing_down,substrate,-4,-4,-4,-4,p,-2.5132741228718347e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,2.9975805579007508e-01+1.3185785097926098e-03j,-2.9975805579007508e-01-1.3185785097926098e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,-5.5854749471174045e-07+5.2237615339320350e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.5854749471174045e-07+5.2237615339320350e-09j,-9.7668453528683474e-01+1.4163488804806326e-01j,5.4478483342811384e-07-8.4211778989241218e-08j,9.785881257235974e-10,1.9571762514471951e-13,dtn_port_modal_amplitudes,0.0,1.9571762514471951e-13
410,bottom,outgoing_down,substrate,-4,-3,-4,-3,s,-2.5132741228718347e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,3.4276723208213411e-01+1.1531281100035141e-03j,-3.4276723208213411e-01-1.1531281100035141e-03j,-1,True,False,9.9900230485899999e-01+1.8264936500000000e-03j,1.2530497494572291e-06+1.7319671816066740e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2530497494572291e-06+1.7319671816066740e-06j,-9.4835845410302377e-01-2.7895804079833547e-01j,-7.0519415160142643e-07-1.9920740220371102e-06j,1.6444044093926685e-08,3.2888088187853377e-12,dtn_port_modal_amplitudes,0.0,3.2888088187853377e-12
