case_id,case_role,grazing_deg,incident_polarization,side,physical_port,m,n,channel_polarization,co_or_cross_polarization,analyzer_comparison_significance,reference_propagating,hybrid_propagating,reference_power_carrying,hybrid_power_carrying,reference_beta_real_per_nm,reference_beta_imag_per_nm,reference_rayleigh_warning,full3d_amplitude_real,full3d_amplitude_imag,full3d_amplitude_magnitude,full3d_amplitude_phase_rad,hybrid_m120_amplitude_real,hybrid_m120_amplitude_imag,hybrid_m120_amplitude_magnitude,hybrid_m120_amplitude_phase_rad,complex_amplitude_absolute_error,complex_amplitude_relative_error,complex_amplitude_pass,full3d_power_ratio,hybrid_m120_power_ratio,power_absolute_error,power_relative_error,power_pass,channel_pass
D005-S,historical_success_control,10,s,top,R,-2,-1,s,co,weak,true,true,true,,0.33255506408626451,0,false,-1.7212045858604638e-14,-1.6948473264561159e-14,2.4155853713711993e-14,-2.3639100451852926,-1.1180388458232709e-14,1.3456333482872802e-14,1.7494970616702013e-14,2.264075757803985,3.0997308985527557e-14,1.2832214233824422,true,2.4009992117110811e-27,1.2594289455987306e-27,1.1415702661123506e-27,0.47545632690933132,true,true
D005-S,historical_success_control,10,s,top,R,-2,-1,p,cross,weak,true,true,true,,0.33255506408626451,0,false,-1.6304468641403469e-14,-4.7124567565844996e-14,4.9865424553957215e-14,-1.9038912645282655,2.3242422653702044e-14,-4.1411290740121675e-14,4.7487948066601164e-14,-1.0593507634736274,3.9957454163074991e-14,0.80130580498394754,true,1.023166418469896e-26,9.2792749720256143e-27,9.5238921267334558e-28,0.093082532370208665,true,true
D005-S,historical_success_control,10,s,top,R,-2,0,s,co,significant,true,true,true,,0.41684330247275342,0,false,0.00049423161689491854,-0.00020551576971313822,0.00053525846349156332,-0.39407703645010428,0.00049423161697527505,-0.00020551576970060176,0.00053525846356094716,-0.39407703637083619,8.1328543129351627e-14,1.5194256357628087e-10,true,1.4776908503467576e-06,1.4776908507298539e-06,3.8309627314241177e-16,2.592533295805376e-10,true,true
D005-S,historical_success_control,10,s,top,R,-2,0,p,cross,weak,true,true,true,,0.41684330247275342,0,false,-4.5735026077670035e-14,1.2864154036942449e-14,4.7509778671462373e-14,2.8674013346010874,2.532238017804768e-15,-9.6116079875703178e-16,2.7085160992475336e-15,-0.36277094236750451,5.020824746561588e-14,1.0567981764935983,true,1.1641863758299925e-26,3.783723051136539e-29,1.1604026527788559e-26,0.99674989921743506,true,true
D005-S,historical_success_control,10,s,top,R,-2,1,s,co,weak,true,true,true,,0.33255506408626451,0,false,3.3338094616643988e-15,2.5684910587364372e-16,3.3436891287724641e-15,0.076891830485247656,3.4268079152527519e-14,-4.8303982986298612e-14,5.9224792284519808e-14,-0.95377246886295675,5.7576761412840852e-14,0.97217329418798626,true,4.6004363048947676e-29,1.4432924112988149e-26,1.43869197499392e-26,0.99681254036335232,true,true
D005-S,historical_success_control,10,s,top,R,-2,1,p,cross,weak,true,true,true,,0.33255506408626451,0,false,1.74481220773057e-14,-7.1771159625514342e-15,1.8866583091924017e-14,-0.39024411935046049,-7.9748770185868928e-14,-5.0433151384451463e-14,9.435766585034591e-14,-2.577689418140265,1.0638759545191275e-13,1.1274928697435846,true,1.4646496123624573e-27,3.6635457040357167e-26,3.5170807427994712e-26,0.96002098156578164,true,true
D005-S,historical_success_control,10,s,top,R,-1,-1,s,co,weak,true,true,true,,0.2068114277272288,0,false,-5.5674646398166044e-14,6.8169975582087701e-14,8.801597481379876e-14,2.255639569618086,1.6151540061295098e-14,-1.6991152267552519e-14,2.3442941405266864e-14,-0.81072599896921094,1.1140654719509103e-13,1.2657537160813812,true,1.9823539913804885e-26,1.4063143457952046e-27,1.841722556800968e-26,0.92905836435318678,true,true
D005-S,historical_success_control,10,s,top,R,-1,-1,p,cross,weak,true,true,true,,0.2068114277272288,0,false,6.3598299626694641e-14,2.3853439561624369e-14,6.7924445484132549e-14,0.35882687393640572,-2.3434491695044452e-14,-1.2158327740375695e-14,2.6400763898938541e-14,-2.6630011465943499,9.4188927955820714e-14,1.3866720189541137,true,1.1806207345373528e-26,1.7835742324167158e-27,1.0022633112956812e-26,0.84892911159012963,true,true
D005-S,historical_success_control,10,s,top,R,-1,0,s,co,significant,true,true,true,,0.32547877781131396,0,false,-0.0010327077159475203,0.00076783392182039085,0.0012868776779770587,2.5022547280422902,-0.0010327077158946755,0.0007678339217309227,0.0012868776778812688,2.5022547280735807,1.0390924261275502e-13,8.0745236622720741e-11,true,6.6693096548914356e-06,6.6693096538985622e-06,9.9287338604665126e-16,1.4887198787035679e-10,true,true
D005-S,historical_success_control,10,s,top,R,-1,0,p,cross,weak,true,true,true,,0.32547877781131396,0,false,1.1885114938703614e-14,-7.2149128562252507e-15,1.3903629908377172e-14,-0.54559051431484817,4.3871700503576096e-14,6.886498209111938e-15,4.4408895084876644e-14,0.15569855734778171,3.4956994294883579e-14,0.78716199149003618,true,7.7850739949418133e-28,7.9422999077175602e-27,7.1637925082233786e-27,0.901979601810591,true,true
D005-S,historical_success_control,10,s,top,R,-1,1,s,co,weak,true,true,true,,0.2068114277272288,0,false,6.6398526559355456e-14,-4.8185364157569162e-14,8.2040195320653536e-14,-0.62776640862653021,1.4172699151453468e-13,6.9496937770830192e-16,1.41728695422617e-13,0.0049035388401624377,8.9797909992513941e-14,0.63359018245915522,true,1.7223109956473551e-26,5.1401262018864612e-26,3.4178152062391058e-26,0.66492826673880967,true,true
D005-S,historical_success_control,10,s,top,R,-1,1,p,cross,weak,true,true,true,,0.2068114277272288,0,false,-3.044614145058154e-14,-6.1174321885404408e-14,6.8332021683599326e-14,-2.0325980700254176,-1.0946225741566782e-13,8.8720902127730087e-14,1.4090203785925945e-13,2.4604723770017198,1.6944652479220615e-13,1.2025839183494171,true,1.194831718281923e-26,5.0803396878520635e-26,3.8855079695701403e-26,0.76481263228540319,true,true
D005-S,historical_success_control,10,s,top,R,0,0,s,co,significant,true,true,true,,0.080819531743360387,0,false,-0.025252304353936602,0.010774151701829795,0.027454712165271143,2.7383166936972785,-0.025252304353940273,0.010774151702123268,0.027454712165389687,2.7383166936874987,2.9349653369537059e-13,1.0690206181267563e-11,true,0.00075376122007788586,0.00075376122008439497,6.5091161627339744e-15,8.6355147880985182e-12,true,true
D005-S,historical_success_control,10,s,top,R,0,0,p,cross,weak,true,true,true,,0.080819531743360387,0,false,7.5142681202387906e-14,2.8241072906299088e-13,2.9223662061448382e-13,1.3107455872389164,-2.5039330231580034e-14,-5.885037420049683e-14,6.3955723762495413e-14,-1.9730687637778412,3.5566216556666313e-13,1.2170348973335883,true,8.5402242428173587e-26,4.0903346019846118e-27,8.1311907826188978e-26,0.95210506790351868,true,true
D005-S,historical_success_control,10,s,bottom,T,-7,0,s,co,significant,true,true,true,,0.19671843459811364,0.0020092399134300416,false,0.00098122105042788474,-8.7237499828463712e-05,0.00098509143290312026,-0.08867393176011075,0.00098122105027037597,-8.7237499820634742e-05,0.00098509143274553711,-0.088673931766354255,1.5770322099766959e-13,1.6008993249784871e-10,true,2.3620104473967895e-06,2.3620104466410972e-06,7.5569230235418561e-16,3.1993605413009348e-10,true,true
D005-S,historical_success_control,10,s,bottom,T,-7,0,p,cross,weak,true,true,true,,0.19671843459811364,0.0020092399134300416,false,-6.1648910543392283e-14,-8.4485376781201584e-14,1.045866485792942e-13,-2.2011778164460454,-8.5818765882454798e-15,-3.8715280728545139e-14,3.9655032059827347e-14,-1.7889355367091995,7.0078611469307104e-14,0.67005313222342888,true,2.6624485429363509e-26,3.8275893770991486e-27,2.2796896052264362e-26,0.85623799613878016,true,true
D005-S,historical_success_control,10,s,bottom,T,-6,-1,s,co,weak,true,true,true,,0.25616944465441399,0.0015429417471518755,false,-1.7106632198485917e-14,-2.0233056033515505e-14,2.6495535881156533e-14,-2.2726600918045752,-3.9572120025045765e-16,2.5202476086219949e-14,2.5205582638471504e-14,1.5864967160335306,4.8411177690637305e-14,1.8271446898746082,true,2.2251352424296481e-27,2.0137450158000283e-27,2.1139022662961971e-28,0.095001068968194741,true,true
