scenario_key,degree,h_nm,wavelength_nm,budget_gib,classification,largest_component,largest_component_gib,largest_component_lower_bound_ratio,cumulative_component_envelope_gib,cumulative_component_envelope_ratio,measured_simultaneous_peak_gib,predicted_simultaneous_peak_gib,simultaneous_peak_ratio,simultaneous_peak_model_status,predicted_local_fe_dofs_sum_uniform,predicted_cross_section_qep_dofs,predicted_modes_per_direction,one_complex_2m_square_gib,local_component_subtotal_gib,modal_and_runtime_component_subtotal_gib,cumulative_envelope_compression_ratio,local_subtotal_to_half_budget_ratio,modal_subtotal_to_half_budget_ratio
p3_h3_finer_discrete_stress_test,3,3.0,1.0,2048.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,960242.8498267662,468.8685790169757,1223162.8978096705,597.2475086961282,,,,unknown_no_lifecycle_overlap_model,550558114,826869,29160,50.68216323852539,244648.98665010743,978513.9111595631,597.2475086961282,238.91502602549554,955.5799913667609
p3_h3_finer_discrete_stress_test,3,3.0,0.7,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,5713350.68618294,22317.77611790211,6804670.893807335,26580.7456789349,,,,unknown_no_lifecycle_overlap_model,1605125697,1687487,59511,211.09337335824966,1015283.6428425711,5789387.250964764,26580.7456789349,7931.903459707587,45229.587898162215
p3_h3_finer_discrete_stress_test,3,3.0,0.7,1024.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,5713350.68618294,5579.444029475528,6804670.893807335,6645.186419733725,,,,unknown_no_lifecycle_overlap_model,1605125697,1687487,59511,211.09337335824966,1015283.6428425711,5789387.250964764,6645.186419733725,1982.9758649268967,11307.396974540554
p3_h3_finer_discrete_stress_test,3,3.0,0.7,2048.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,5713350.68618294,2789.722014737764,6804670.893807335,3322.5932098668627,,,,unknown_no_lifecycle_overlap_model,1605125697,1687487,59511,211.09337335824966,1015283.6428425711,5789387.250964764,3322.5932098668627,991.4879324634484,5653.698487270277
p4_h5_best_available_stress_test,4,5.0,13.5,256.0,cumulative_envelope_within_guardband_peak_unknown,mpi_process_runtime_overhead,4.080397914205961,0.015939054352367036,9.205917358398438,0.035960614681243896,9.205917358398438,,0.035960614681243896,measured_at_reference,100520,3017,160,0.00152587890625,3.6290794610977173,5.57683789730072,1.0,1.0,1.0
p4_h5_best_available_stress_test,4,5.0,13.5,1024.0,cumulative_envelope_within_guardband_peak_unknown,mpi_process_runtime_overhead,4.080397914205961,0.003984763588091759,9.205917358398438,0.008990153670310974,9.205917358398438,,0.008990153670310974,measured_at_reference,100520,3017,160,0.00152587890625,3.6290794610977173,5.57683789730072,1.0,1.0,1.0
p4_h5_best_available_stress_test,4,5.0,13.5,2048.0,cumulative_envelope_within_guardband_peak_unknown,mpi_process_runtime_overhead,4.080397914205961,0.0019923817940458795,9.205917358398438,0.004495076835155487,9.205917358398438,,0.004495076835155487,measured_at_reference,100520,3017,160,0.00152587890625,3.6290794610977173,5.57683789730072,1.0,1.0,1.0
p4_h5_best_available_stress_test,4,5.0,5.0,256.0,cumulative_envelope_exceeds_budget_peak_unknown,local_3d_factorization,139.55104310939316,0.545121262146067,328.8614915987558,1.2846152015576398,,,,unknown_no_lifecycle_overlap_model,1978536,21994,1167,0.08117491006851196,159.2966426201821,169.56484897857368,1.2846152015576398,1.2445050204701726,1.3247253826451069
p4_h5_best_available_stress_test,4,5.0,5.0,1024.0,cumulative_envelope_within_guardband_peak_unknown,local_3d_factorization,139.55104310939316,0.13628031553651676,328.8614915987558,0.32115380038940994,,,,unknown_no_lifecycle_overlap_model,1978536,21994,1167,0.08117491006851196,159.2966426201821,169.56484897857368,1.0,1.0,1.0
p4_h5_best_available_stress_test,4,5.0,5.0,2048.0,cumulative_envelope_within_guardband_peak_unknown,local_3d_factorization,139.55104310939316,0.06814015776825838,328.8614915987558,0.16057690019470497,,,,unknown_no_lifecycle_overlap_model,1978536,21994,1167,0.08117491006851196,159.2966426201821,169.56484897857368,1.0,1.0,1.0
p4_h5_best_available_stress_test,4,5.0,2.0,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,13485.653156769695,52.67833264363162,20312.15741736317,79.34436491157489,,,,unknown_no_lifecycle_overlap_model,30914612,137463,7290,3.167635202407837,5759.737613816746,14552.419803546425,79.34436491157489,44.997950107943325,113.69077971520645
p4_h5_best_available_stress_test,4,5.0,2.0,1024.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,13485.653156769695,13.169583160907905,20312.15741736317,19.83609122789372,,,,unknown_no_lifecycle_overlap_model,30914612,137463,7290,3.167635202407837,5759.737613816746,14552.419803546425,19.83609122789372,11.249487526985831,28.42269492880161
p4_h5_best_available_stress_test,4,5.0,2.0,2048.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,13485.653156769695,6.5847915804539525,20312.15741736317,9.91804561394686,,,,unknown_no_lifecycle_overlap_model,30914612,137463,7290,3.167635202407837,5759.737613816746,14552.419803546425,9.91804561394686,5.624743763492916,14.211347464400806
p4_h5_best_available_stress_test,4,5.0,1.0,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,431540.90101663023,1685.7066445962118,538208.4878319935,2102.3769055937246,,,,unknown_no_lifecycle_overlap_model,247316895,549849,29160,50.68216323852539,89687.60188221931,448520.8859497742,2102.3769055937246,700.6843897048384,3504.069421482611
p4_h5_best_available_stress_test,4,5.0,1.0,1024.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,431540.90101663023,421.42666114905296,538208.4878319935,525.5942263984311,,,,unknown_no_lifecycle_overlap_model,247316895,549849,29160,50.68216323852539,89687.60188221931,448520.8859497742,525.5942263984311,175.1710974262096,876.0173553706527
p4_h5_best_available_stress_test,4,5.0,1.0,2048.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,431540.90101663023,210.71333057452648,538208.4878319935,262.7971131992156,,,,unknown_no_lifecycle_overlap_model,247316895,549849,29160,50.68216323852539,89687.60188221931,448520.8859497742,262.7971131992156,87.5855487131048,438.00867768532635
p4_h5_best_available_stress_test,4,5.0,0.7,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,2567625.99522003,10029.789043828243,3008763.245763763,11752.981428764699,,,,unknown_no_lifecycle_overlap_model,721040511,1122140,59511,211.09337335824966,370458.73344675044,2638304.5123170125,11752.981428764699,2894.208855052738,20611.75400247666
p4_h5_best_available_stress_test,4,5.0,0.7,1024.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,2567625.99522003,2507.4472609570607,3008763.245763763,2938.2453571911747,,,,unknown_no_lifecycle_overlap_model,721040511,1122140,59511,211.09337335824966,370458.73344675044,2638304.5123170125,2938.2453571911747,723.5522137631845,5152.938500619165
p4_h5_best_available_stress_test,4,5.0,0.7,2048.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,2567625.99522003,1253.7236304785304,3008763.245763763,1469.1226785955873,,,,unknown_no_lifecycle_overlap_model,721040511,1122140,59511,211.09337335824966,370458.73344675044,2638304.5123170125,1469.1226785955873,361.7761068815922,2576.4692503095825
