case,set_name,lift_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,coarse_condition,regularization,notes
task014a_default100_stage4_block_grating_p1_h5,top_y,aux_only,0.021465559540488233,0.9985762635124961,0.02149616441410598,0.9999999999994725,1.0275614763947207e-06,1.0,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift_minres,0.021465559540488233,0.02146459669426878,1.0000448574102354,0.047253893373860587,0.9988829108364063,1.0019731773582583,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift_sign_flip,0.021465559540488233,0.021507821010418943,0.9980350650161056,0.08266797660937972,0.9965771448529768,1.0088447622390186,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift_sign_flip_minres,0.021465559540488233,0.02146465383615886,1.0000421951519127,0.04737715640554562,0.9988770720418627,1.0035916544279524,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift,0.021465559540488233,0.021479824776599096,0.9993358774450337,0.047556842151095124,0.9988685332738317,1.001612557805646,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_minres,0.021465559540488233,0.02146474918042031,1.0000377530648559,0.04484156872997607,0.9989941109505276,1.0030303614470422,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_sign_flip,0.021465559540488233,0.021468285650637534,0.99987301686806,0.03553885477119445,0.99936829537541,1.0005559587929427,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_sign_flip_minres,0.021465559540488233,0.02146554915621809,1.000000483764476,0.043707411208215224,0.999044374492683,1.000847787964118,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_aux_sign_flip,0.021465559540488233,0.021468285650637534,0.99987301686806,0.03553885477119445,0.99936829537541,1.0005559587929427,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_aux_sign_flip_minres,0.021465559540488233,0.02146554915621809,1.000000483764476,0.043707411208215224,0.999044374492683,1.000847787964118,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,aux_only,9.601334814717081e-07,9.602405393186599e-07,0.9998885093447235,0.9660163029204664,0.25848114533148003,1.0,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,aux_only_minres,9.601334814717081e-07,9.601334767864887e-07,1.0000000048797584,0.9660036440031996,0.2585284506056147,1.0,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,9.601334814717081e-07,9.636633425861794e-07,0.9963370391313234,0.9660041366888122,0.25852660965576174,1.0000000000000004,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift_minres,9.601334814717081e-07,9.600924066343988e-07,1.0000427821707842,0.9660017319574143,0.2585355949483092,1.0000000000000004,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift_sign_flip,9.601334814717081e-07,9.602812756627182e-07,0.9998460928118086,0.9660184061558192,0.25847328482489423,1.0000000000000004,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift_sign_flip_minres,9.601334814717081e-07,9.601140123183693e-07,1.0000202779597933,0.965999717825657,0.25854312050555783,1.0000000000000004,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,9.601334814717081e-07,9.604491985245632e-07,0.9996712818821234,0.9659914976576327,0.25857383172541626,1.0000000000000002,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift_minres,9.601334814717081e-07,9.6013347934559e-07,1.0000000022143984,0.966003541979813,0.2585288318204674,1.0000000000000002,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift_sign_flip,9.601334814717081e-07,9.607324516387503e-07,0.999376548417803,0.9660327361921123,0.25841972178063527,1.0000000000000002,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift_sign_flip_minres,9.601334814717081e-07,9.60133463566428e-07,1.000000018648741,0.966003666107608,0.25852836801144535,1.0000000000000002,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift_aux_sign_flip,9.601334814717081e-07,9.607324516387503e-07,0.999376548417803,0.9660327361921123,0.25841972178063527,1.0000000000000002,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift_aux_sign_flip_minres,9.601334814717081e-07,9.60133463566428e-07,1.000000018648741,0.966003666107608,0.25852836801144535,1.0000000000000002,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,exact_lift_tiny10,9.601334814717081e-07,1.8623032359913182e-06,0.5155623761565457,0.4980351004025869,0.8671568709103245,1.0000000000000024,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_y,exact_lift_tiny10_minres,9.601334814717081e-07,9.601310071044e-07,1.0000025771142582,0.9660060681866388,0.25851939236078786,1.0000000000000007,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,aux_only,9.601334814717081e-07,9.603489344895296e-07,0.9997756513178869,0.9660292366673742,0.2584328034593337,1.0,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,aux_only_minres,9.601334814717081e-07,9.601334443403267e-07,1.0000000386731465,0.9660037114033853,0.25852819876153815,1.010092617823585,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,9.601334814717081e-07,9.72880338686372e-07,0.9868978159925862,0.9664760800160491,0.25675666837847,3.9502302466797814,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_minres,9.601334814717081e-07,9.587861139326023e-07,1.0014052847861756,0.9658324656708805,0.25916722064355946,1.0389200862419712,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_sign_flip,9.601334814717081e-07,9.73680055767175e-07,0.986087242708496,0.96530927761293,0.2611091698014515,5.861527645601211,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_sign_flip_minres,9.601334814717081e-07,9.581176310535586e-07,1.002103969651339,0.9657353502046281,0.2595288680766442,3.011087042792792,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift,9.601334814717081e-07,9.614227064423094e-07,0.9986590445992565,0.9659969245577554,0.25855355682132486,1.4988605036187657,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_minres,9.601334814717081e-07,9.601334036088569e-07,1.0000000810958676,0.9660037084102969,0.2585282099453634,2.17156699036648,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_sign_flip,9.601334814717081e-07,9.619889603209563e-07,0.9980712056730577,0.9660344515523945,0.2584133092815934,1.1764491007826912,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_sign_flip_minres,9.601334814717081e-07,9.601334189305161e-07,1.0000000651380223,0.9660039272445036,0.2585273922589173,1.5795967839374272,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_aux_sign_flip,9.601334814717081e-07,9.619889603209563e-07,0.9980712056730577,0.9660344515523945,0.2584133092815934,1.1764491007826912,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_aux_sign_flip_minres,9.601334814717081e-07,9.601334189305161e-07,1.0000000651380223,0.9660039272445036,0.2585273922589173,1.5795967839374272,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,exact_lift_tiny10,9.601334814717081e-07,1.6256932181280808e-06,0.5905994259957992,0.5705211590812739,0.8212829031707404,1.8759371592157692,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,exact_lift_tiny10_minres,9.601334814717081e-07,9.601240747124345e-07,1.0000097974413114,0.9660130430484114,0.25849332807704767,3.5273163391581788,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,aux_only,9.601334814717081e-07,1.5119039724105502e-06,0.6350492484922108,0.9999999999999999,0.0,1.0,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,aux_only_minres,9.601334814717081e-07,9.596821851108099e-07,1.0004702560575782,0.9676397744142495,0.25233562366725026,1.010092617823585,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift,9.601334814717081e-07,9.89687088833496e-07,0.9701384329499321,0.9646281249516425,0.2636144543690248,3.9502302466797854,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift_minres,9.601334814717081e-07,9.577867358456443e-07,1.0024501755330657,0.9660860899153467,0.25822019067469676,1.0389200862419716,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift_sign_flip,9.601334814717081e-07,9.820832182209701e-07,0.9776498199520977,0.9628855672858695,0.2699099559345106,5.861527645601222,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift_sign_flip_minres,9.601334814717081e-07,9.578600049592495e-07,1.0023734956055037,0.965068164066337,0.2619989288253482,3.011087042792795,0.0,minres; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift,9.601334814717081e-07,9.650216848807495e-07,0.9949346180654527,0.9637371210227078,0.2668534458515816,1.4996900528996182,0.0,galerkin; direct dense coarse solve
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_minres,9.601334814717081e-07,9.594666116271957e-07,1.0006950422624727,0.9677445581608399,0.2519334637361239,2.172583922083045,0.0,minres; direct dense coarse solve
