"case","profile","mode_id","port","diffraction_order_m","diffraction_order_n","polarization","is_propagating","is_near_cutoff","residual_norm","relative_to_total_residual","relative_to_aux_residual","notes"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","75","top","-4","6","p","True","False","0.00018524510345101092","2.6652954232839665e-05","9.195093760274022e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","279","top","4","-6","p","True","False","0.00018457747384250742","2.6556896085723037e-05","9.16195433184671e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","51","top","-4","-6","p","True","False","0.0001697135564635177","2.4418284579979826e-05","8.424147440335964e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","223","top","2","-7","p","True","False","0.000147011989784701","2.1151996799993934e-05","7.297299657436076e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","251","top","2","7","p","True","False","0.00013811421274267764","1.987178998287946e-05","6.855636732828435e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","131","top","-2","7","p","True","False","0.00013162069692424226","1.893750682670012e-05","6.533315194110269e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","103","top","-2","-7","p","True","False","0.00012560152949157546","1.8071472631388213e-05","6.234539097624696e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","325","top","5","5","p","True","False","0.00012422875999558303","1.7873959380741886e-05","6.166398326334444e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","49","top","-5","5","p","True","False","0.0001092190241875544","1.5714367607001973e-05","5.4213533804729475e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","29","top","-5","-5","p","True","False","0.00010119953140232819","1.4560527801288851e-05","5.0232862429548054e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","305","top","5","-5","p","True","False","0.00010080011428033788","1.4503059905652755e-05","5.003460197257835e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","3","top","-7","-1","p","True","False","8.31369109377722e-05","1.1961688816622902e-05","4.126703900783697e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","351","top","7","1","p","True","False","8.036027072443214e-05","1.1562187490279958e-05","3.988878573017551e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","171","top","0","-3","p","True","False","7.743804086363732e-05","1.1141738812897243e-05","3.8438265470341124e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","347","top","7","-1","p","True","False","7.315492434471738e-05","1.0525486580444133e-05","3.6312235834795995e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","183","top","0","3","p","True","False","7.296945533977002e-05","1.0498801411398466e-05","3.6220173758209625e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","173","top","0","-2","p","True","False","5.839186016206422e-05","8.401385772020946e-06","2.898422787023793e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","181","top","0","2","p","True","False","5.623158415706394e-05","8.090566557807271e-06","2.791192204169003e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","175","top","0","-1","p","True","False","4.763837257587647e-05","6.854180436286564e-06","2.3646471310800002e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","179","top","0","1","p","True","False","4.6785134324313865e-05","6.731417029076612e-06","2.3222945637148646e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","349","top","7","0","p","True","False","4.655565593642614e-05","6.698399816443972e-06","2.3109038427010582e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","344","top","7","-2","s","True","False","2.3697089404424406e-05","1.1859781773828749e-05","1.1870919877237326e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","0","top","-7","-2","s","True","False","2.361954382349098e-05","1.1820972211536112e-05","1.1832073866979093e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","352","top","7","2","s","True","False","2.3532573507536963e-05","1.1777445812558903e-05","1.1788506590223351e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","8","top","-7","2","s","True","False","2.3421316806454597e-05","1.1721764704504062e-05","1.1732773189305855e-05","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","189","top","0","6","p","True","False","1.9665164732164937e-05","9.841907514022588e-06","9.851150532631139e-06","auxiliary residual is one scalar complex residual per DtN mode"
