profile_name,run_stage,p,h_nm,status,case_status,failure_stage,returncode,ksp_converged_reason_text,ksp_iterations,residual_final_over_initial,true_relative_residual_norm,RSS_upper_GB,stdout_tail,stderr_tail
iter_bicgstab_asm1_ilu0,stageA_bicgstab_fixed,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,21891.613951123254,1.0000175984182533,3.524993896484375,"linear system true relative residual = 1.0000175984182533
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = bcgs
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.620425e+05
  max RSS across ranks = 451.2 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 64.991
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_141742",
iter_bicgstab_asm1_ilu0,stageA_bicgstab_fixed,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,5934.187552661659,1.4135895100046705,2.911102294921875,"linear system true relative residual = 1.4135895100046705
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = bcgs
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 4.041477e+04
  max RSS across ranks = 372.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 43.310
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_141656",
iter_bicgstab_bjacobi_ilu0,stageA_bicgstab_fixed,2,4.0,failed,failed_not_converged,,0,DIVERGED_DTOL,5,38852189.36466197,1.0000020086747574,3.25994873046875,"linear system true relative residual = 1.0000020086747574
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = bcgs
  pc_type              = bjacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -4
  reason name          = DIVERGED_DTOL
  iterations           = 5
  residual norm        = 2.875853e+08
  max RSS across ranks = 417.3 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 9.313
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_141916",
iter_bicgstab_bjacobi_ilu0,stageA_bicgstab_fixed,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,11316.85623702037,0.9999427882424989,2.647979736328125,"linear system true relative residual = 0.9999427882424989
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = bcgs
  pc_type              = bjacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 7.707342e+04
  max RSS across ranks = 338.9 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 24.782
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_141849",
iter_fgmres_gamg,stageA_extra_gamg,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.1564410680675336,0.15644106806753405,7.481597900390625,"linear system true relative residual = 0.15644106806753405
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = gamg
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.157982e+00
  max RSS across ranks = 957.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 77.527
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_142719",
iter_fgmres_gamg,stageA_extra_gamg,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.15437163919958546,0.15437163919958571,5.171295166015625,"linear system true relative residual = 0.15437163919958571
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = gamg
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.051348e+00
  max RSS across ranks = 661.9 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 50.514
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_142626",
iter_fgmres_fieldsplit_schur_asm1_lu,stageA_extra_fieldsplit_fixed,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9997496330998855,0.9997496330998853,5.5284423828125,"linear system true relative residual = 0.9997496330998853
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = fieldsplit
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 7.400182e+00
  max RSS across ranks = 707.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 160.634
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_143138",
iter_fgmres_fieldsplit_schur_asm1_lu,stageA_extra_fieldsplit_fixed,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9996267149766854,0.9996267149766855,3.668182373046875,"linear system true relative residual = 0.9996267149766855
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = fieldsplit
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.807955e+00
  max RSS across ranks = 469.5 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 73.871
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_143022",
iter_gmres_jacobi_maxit5000,diagnostic_jacobi_maxit5000,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,5000,0.008239013453533651,0.14391067504382768,3.270416259765625,"linear system true relative residual = 0.14391067504382768
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 5000
  residual norm        = 6.098547e-02
  max RSS across ranks = 418.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 134.865
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_142122",
iter_gmres_jacobi_maxit5000,diagnostic_jacobi_maxit5000,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,5000,0.010728400764635998,0.14268474706133868,2.76470947265625,"linear system true relative residual = 0.14268474706133868
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 5000
  residual norm        = 7.306575e-02
  max RSS across ranks = 353.9 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 74.005
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_142006",
