p,h_nm,mpi_ranks,solver_profile,side,order_m,order_n,polarization,power,amplitude_real,amplitude_imag,is_propagating
1,5.0,8,default,reflection,-1,-7,p,7.184428621238023e-12,1.4102988011806953e-06,4.703957011624663e-06,True
1,5.0,8,default,reflection,-1,-6,s,2.3897565826461747e-16,-2.0452865249864556e-08,6.60833729096487e-10,True
1,5.0,8,default,reflection,-1,-6,p,2.2408244053770158e-13,1.933833471150933e-07,5.960385341199024e-07,True
1,5.0,8,default,reflection,-1,-5,s,3.634515732786643e-11,-1.4163189073482425e-06,-6.935436190835323e-06,True
1,5.0,8,default,reflection,-1,-5,p,3.295292942809125e-10,6.358748781044186e-06,2.0343614649569606e-05,True
1,5.0,8,default,reflection,-1,-4,s,6.718244347841697e-14,-2.794326864753314e-07,-5.277572450410721e-08,True
1,5.0,8,default,reflection,-1,-4,p,1.745423770086162e-12,1.3219772529467855e-06,5.944350485411927e-07,True
1,5.0,8,default,reflection,-1,-3,s,1.4825034371756518e-09,-1.0611699693578483e-05,3.9074207910450316e-05,True
1,5.0,8,default,reflection,-1,-3,p,1.1285932339523701e-08,3.698439710346482e-05,-0.00010541591859932191,True
1,5.0,8,default,reflection,-1,-2,s,6.7055640814302794e-12,1.204567766300076e-06,-2.362775219372737e-06,True
1,5.0,8,default,reflection,-1,-2,p,2.5496495879680488e-11,-2.363945975151148e-06,4.599552799579993e-06,True
1,5.0,8,default,reflection,-1,-1,s,4.846912617036297e-07,-0.00041938443431489483,-0.0005638178065434723,True
1,5.0,8,default,reflection,-1,-1,p,4.659822388038188e-07,0.00041119902525686057,0.0005528377480911184,True
1,5.0,8,default,reflection,-1,0,s,2.616202775776168e-06,0.0010305255406242281,0.0012563402914917317,True
1,5.0,8,default,reflection,-1,0,p,1.4400350015331715e-29,1.2827107075575334e-15,3.589992727758454e-15,True
1,5.0,8,default,reflection,-1,1,s,4.84691261705345e-07,-0.00041938443431242963,-0.0005638178065468558,True
1,5.0,8,default,reflection,-1,1,p,4.659822387965423e-07,-0.0004111990252523302,-0.0005528377480877837,True
1,5.0,8,default,reflection,-1,2,s,6.705564093124194e-12,1.2045677683772465e-06,-2.3627752209094787e-06,True
1,5.0,8,default,reflection,-1,2,p,2.5496495845666738e-11,2.363945972123714e-06,-4.59955279725751e-06,True
1,5.0,8,default,reflection,-1,3,s,1.4825034376388349e-09,-1.0611699694942489e-05,3.907420791663412e-05,True
1,5.0,8,default,reflection,-1,3,p,1.1285932340291686e-08,-3.698439710782029e-05,0.00010541591860182198,True
1,5.0,8,default,reflection,-1,4,s,6.718244488844523e-14,-2.7943269064671413e-07,-5.277571849772722e-08,True
1,5.0,8,default,reflection,-1,4,p,1.7454237759482069e-12,-1.3219772531579136e-06,-5.94435054006856e-07,True
1,5.0,8,default,reflection,-1,5,s,3.6345157292442906e-11,-1.416318909268332e-06,-6.935436186922479e-06,True
1,5.0,8,default,reflection,-1,5,p,3.2952929418419287e-10,-6.358748778220133e-06,-2.0343614647175118e-05,True
1,5.0,8,default,reflection,-1,6,s,2.389755778493426e-16,-2.045286187918751e-08,6.608314354198208e-10,True
1,5.0,8,default,reflection,-1,6,p,2.2408244376073445e-13,-1.9338334792498554e-07,-5.960385385948416e-07,True
1,5.0,8,default,reflection,-1,7,s,4.576025276407619e-13,-1.1263229529322156e-06,5.171485748992691e-07,True
1,5.0,8,default,reflection,-1,7,p,7.184428623943314e-12,-1.4102988009851118e-06,-4.703957012648544e-06,True
1,5.0,8,default,reflection,0,-7,s,3.0800530520376978e-30,1.710893114978812e-15,2.5475364315957984e-15,True
1,5.0,8,default,reflection,0,-7,p,2.0618572579475913e-11,-6.8387992410918105e-06,-4.033733442189286e-06,True
1,5.0,8,default,reflection,0,-6,s,5.363586394787747e-29,-9.56142258688901e-15,2.0219283676172452e-16,True
1,5.0,8,default,reflection,0,-6,p,8.212264076393012e-13,-7.413194969481569e-08,-1.181053519722312e-06,True
1,5.0,8,default,reflection,0,-5,s,2.81457125654398e-29,-1.3079115265714104e-15,6.036274594468552e-15,True
1,5.0,8,default,reflection,0,-5,p,5.098950302429216e-10,-1.5859471348511852e-05,-2.0965746552116018e-05,True
1,5.0,8,default,reflection,0,-4,s,3.1172705064185633e-29,-5.7784805654960624e-15,1.9094795816111235e-15,True
1,5.0,8,default,reflection,0,-4,p,3.981898765476088e-12,-2.128109879291354e-06,-4.49584750028898e-07,True
1,5.0,8,default,reflection,0,-3,s,7.797513608207608e-30,2.009539862439056e-16,2.913393059520422e-15,True
1,5.0,8,default,reflection,0,-3,p,4.332872399886277e-08,-2.546687834254395e-05,0.00021619580181602292,True
1,5.0,8,default,reflection,0,-2,s,3.787719145348461e-30,-1.9438599203562247e-15,-3.9399055955837197e-16,True
1,5.0,8,default,reflection,0,-2,p,6.82793689014478e-11,2.62099443819287e-06,-8.0027148610576e-06,True
1,5.0,8,default,reflection,0,-1,s,4.4620932965179566e-30,1.2993767329246388e-16,-2.118120554453171e-15,True
1,5.0,8,default,reflection,0,-1,p,2.5167272943918075e-06,-0.0010073882766860561,-0.0012349688840802143,True
1,5.0,8,default,reflection,0,0,x,1.5622602277847493e-29,9.602085616046168e-16,-3.834136382038162e-15,True
1,5.0,8,default,reflection,0,0,y,0.0026063563931755037,-0.021594436749568735,0.04626053063513624,True
1,5.0,8,default,reflection,0,1,s,1.313311475999241e-29,-3.4070957894736444e-15,-1.2830236205633284e-15,True
1,5.0,8,default,reflection,0,1,p,2.5167272943821085e-06,0.0010073882766809916,0.0012349688840803824,True
1,5.0,8,default,reflection,0,2,s,1.728184951937751e-31,2.720681161808105e-16,3.2475133800771656e-16,True
1,5.0,8,default,reflection,0,2,p,6.827936891847572e-11,-2.620994450666964e-06,8.00271485807709e-06,True
