auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
97,top,outgoing_up,air,-3,4,-3,4,p,-1.8849555921538758e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,3.4339596363008190e-01+0.0000000000000000e+00j,3.4339596363008190e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.4526197537041562e-14-6.0290445994140947e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.4526197537041562e-14-6.0290445994140947e-15j,-1.8237907681107474e-01+9.8322829106039256e-01j,8.5772017145897571e-15-1.3182996791857119e-14j,9.12532205017848e-25,1.8250644100356961e-28,dtn_port_modal_amplitudes,1.8250644100356961e-28,0.0
98,top,outgoing_up,air,-3,5,-3,5,s,-1.8849555921538758e-01+0.0000000000000000e+00j,3.1415926535897931e-01+0.0000000000000000e+00j,2.8703695231365395e-01+0.0000000000000000e+00j,2.8703695231365395e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.2208586988495064e-15-5.3224685932114931e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,6.2208586988495064e-15-5.3224685932114931e-15j,-5.6512332570259845e-02-9.9840190117380501e-01j,-5.6655179980621996e-15-5.9101320366306190e-15j,2.066885351818827e-25,4.133770703637655e-29,dtn_port_modal_amplitudes,4.133770703637655e-29,0.0
99,top,outgoing_up,air,-3,5,-3,5,p,-1.8849555921538758e-01+0.0000000000000000e+00j,3.1415926535897931e-01+0.0000000000000000e+00j,2.8703695231365395e-01+0.0000000000000000e+00j,2.8703695231365395e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-7.7708634032535357e-15-1.9349309629458467e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-7.7708634032535357e-15-1.9349309629458467e-15j,-5.6512332570259845e-02-9.9840190117380501e-01j,-1.4926891350424695e-15+7.8677922576487642e-15j,1.9775379323659023e-25,3.9550758647318054e-29,dtn_port_modal_amplitudes,3.9550758647318054e-29,0.0
100,top,outgoing_up,air,-3,6,-3,6,s,-1.8849555921538758e-01+0.0000000000000000e+00j,3.7699111843077515e-01+0.0000000000000000e+00j,1.9739288900240981e-01+0.0000000000000000e+00j,1.9739288900240981e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.4705943477347846e-15-6.1004667481441946e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.4705943477347846e-15-6.1004667481441946e-15j,7.4995831046452421e-01-6.6148509625326879e-01j,-6.6381689074209350e-15-2.2793492993158359e-15j,1.0446147652977179e-25,2.0892295305954362e-29,dtn_port_modal_amplitudes,2.0892295305954362e-29,0.0
101,top,outgoing_up,air,-3,6,-3,6,p,-1.8849555921538758e-01+0.0000000000000000e+00j,3.7699111843077515e-01+0.0000000000000000e+00j,1.9739288900240981e-01+0.0000000000000000e+00j,1.9739288900240981e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.3175791875315749e-15+2.1449605644606498e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.3175791875315749e-15+2.1449605644606498e-15j,7.4995831046452421e-01-6.6148509625326879e-01j,2.4069889068261194e-15+7.3707200525031365e-16j,1.3437864455369568e-26,2.687572891073914e-30,dtn_port_modal_amplitudes,2.687572891073914e-30,0.0
102,top,outgoing_up,air,-2,-7,-2,-7,s,-1.2566370614359174e-01+0.0000000000000000e+00j,-4.3982297150257105e-01+0.0000000000000000e+00j,8.5914018327812577e-02+0.0000000000000000e+00j,8.5914018327812577e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.5053508255270905e-16+1.1064213047384710e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5053508255270905e-16+1.1064213047384710e-15j,4.2815674128062969e-01-9.0370448980623741e-01j,1.0643305111036099e-15+3.3768251034405058e-16j,1.1507866148665073e-27,2.301573229733015e-31,dtn_port_modal_amplitudes,2.301573229733015e-31,0.0
103,top,outgoing_up,air,-2,-7,-2,-7,p,-1.2566370614359174e-01+0.0000000000000000e+00j,-4.3982297150257105e-01+0.0000000000000000e+00j,8.5914018327812577e-02+0.0000000000000000e+00j,8.5914018327812577e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.9431334770378045e-16-3.4657168720076901e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.9431334770378045e-16-3.4657168720076901e-15j,4.2815674128062969e-01-9.0370448980623741e-01j,-3.2579961414988223e-15-1.2178977483902991e-15j,1.1165928226069504e-26,2.2331856452139013e-30,dtn_port_modal_amplitudes,2.2331856452139013e-30,0.0
104,top,outgoing_up,air,-2,-6,-2,-6,s,-1.2566370614359174e-01+0.0000000000000000e+00j,-3.7699111843077515e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.4215617235650813e-14-1.1001420345978432e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.4215617235650813e-14-1.1001420345978432e-14j,-3.8948672055607042e-01+9.2103208115161628e-01j,1.5669455214674237e-14-8.8081323953922865e-15j,8.410306059432582e-25,1.6820612118865168e-28,dtn_port_modal_amplitudes,1.6820612118865168e-28,0.0
105,top,outgoing_up,air,-2,-6,-2,-6,p,-1.2566370614359174e-01+0.0000000000000000e+00j,-3.7699111843077515e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.7691198362367620e-17-5.0969118021493303e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.7691198362367620e-17-5.0969118021493303e-15j,-3.8948672055607042e-01+9.2103208115161628e-01j,4.7207841074405016e-15+1.9228336974793352e-15j,6.76309489398494e-26,1.352618978796988e-29,dtn_port_modal_amplitudes,1.352618978796988e-29,0.0
106,top,outgoing_up,air,-2,-5,-2,-5,s,-1.2566370614359174e-01+0.0000000000000000e+00j,-3.1415926535897931e-01+0.0000000000000000e+00j,3.1957694033783096e-01+0.0000000000000000e+00j,3.1957694033783096e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.9849813486326159e-15-3.4300079591590481e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.9849813486326159e-15-3.4300079591590481e-15j,9.4763140690420844e-01+3.1936611693908690e-01j,-3.6284965658091768e-15-4.8424174043570925e-15j,1.2570666422834786e-25,2.5141332845669577e-29,dtn_port_modal_amplitudes,2.5141332845669577e-29,0.0
107,top,outgoing_up,air,-2,-5,-2,-5,p,-1.2566370614359174e-01+0.0000000000000000e+00j,-3.1415926535897931e-01+0.0000000000000000e+00j,3.1957694033783096e-01+0.0000000000000000e+00j,3.1957694033783096e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.4862719025959638e-15-7.4870526136323072e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,6.4862719025959638e-15-7.4870526136323072e-15j,9.4763140690420844e-01+3.1936611693908690e-01j,8.5377058891546413e-15-5.0234707308790382e-15j,3.3689213344474523e-25,6.737842668894906e-29,dtn_port_modal_amplitudes,6.737842668894906e-29,0.0
108,top,outgoing_up,air,-2,-4,-2,-4,s,-1.2566370614359174e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,3.7102560105686949e-01+0.0000000000000000e+00j,3.7102560105686949e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.9466903207750875e-15-1.1190918524930469e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,2.9466903207750875e-15-1.1190918524930469e-14j,-9.6366746870815245e-01-2.6710486658543325e-01j,-5.8287784020581487e-15+9.9972488024396990e-15j,5.337919980762363e-25,1.0675839961524729e-28,dtn_port_modal_amplitudes,1.0675839961524729e-28,0.0
109,top,outgoing_up,air,-2,-4,-2,-4,p,-1.2566370614359174e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,3.7102560105686949e-01+0.0000000000000000e+00j,3.7102560105686949e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.8674699253147023e-15+3.4478086664889746e-17j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.8674699253147023e-15+3.4478086664889746e-17j,-9.6366746870815245e-01-2.6710486658543325e-01j,2.7724967492635204e-15+7.3268976133667118e-16j,3.277844205747857e-26,6.555688411495716e-30,dtn_port_modal_amplitudes,6.555688411495716e-30,0.0
110,top,outgoing_up,air,-2,-3,-2,-3,s,-1.2566370614359174e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,4.0656474141600307e-01+0.0000000000000000e+00j,4.0656474141600307e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,9.8483738061235872e-16-3.0444075787789180e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,9.8483738061235872e-16-3.0444075787789180e-15j,7.3923895982341259e-01-6.7344321236404114e-01j,-1.3222054587592128e-15-2.9137767410708159e-15j,4.471800379814659e-26,8.943600759629319e-30,dtn_port_modal_amplitudes,8.943600759629319e-30,0.0
111,top,outgoing_up,air,-2,-3,-2,-3,p,-1.2566370614359174e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,4.0656474141600307e-01+0.0000000000000000e+00j,4.0656474141600307e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,5.3402482441949196e-15-8.8263528696482103e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,5.3402482441949196e-15-8.8263528696482103e-16j,7.3923895982341259e-01-6.7344321236404114e-01j,3.3533148142380112e-15-4.2488323238313708e-15j,1.2796204181402293e-25,2.559240836280459e-29,dtn_port_modal_amplitudes,2.559240836280459e-29,0.0
112,top,outgoing_up,air,-2,-2,-2,-2,s,-1.2566370614359174e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,4.3015589937235565e-01+0.0000000000000000e+00j,4.3015589937235565e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.8770954666866040e-15-5.5421346931258936e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.8770954666866040e-15-5.5421346931258936e-15j,7.7969814338176791e-01+6.2615557588112569e-01j,4.9338063907108886e-15-3.1458383376749423e-15j,1.5822227222472186e-25,3.164445444494438e-29,dtn_port_modal_amplitudes,3.164445444494438e-29,0.0
113,top,outgoing_up,air,-2,-2,-2,-2,p,-1.2566370614359174e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,4.3015589937235565e-01+0.0000000000000000e+00j,4.3015589937235565e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-7.1352759708892993e-16-3.9389533426730899e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-7.1352759708892993e-16-3.9389533426730899e-15j,7.7969814338176791e-01+6.2615557588112569e-01j,1.9100614559484607e-15-3.5179738916119114e-15j,7.405145558618485e-26,1.481029111723697e-29,dtn_port_modal_amplitudes,1.481029111723697e-29,0.0
